"id","store_number","store_name","store_address","city","state_code","zip_code","latitude","longitude","overall_rating","review_count","rating_tier","volume_tier","nc_region"
59,"2368","Lowe's Home Improvement","3025 Dale Earnhardt Blvd","Kannapolis","NC","28083",35.469003,-80.587205,4.3,2193,"Above Average","Medium Volume","Charlotte Metro"
60,"1141","Lowe's Home Improvement","145 Harmon Creek Rd","Kernersville","NC","27284",36.106782,80.102825,4.2,2184,"Average","Medium Volume","Triad"
61,"3216","Lowe's Home Improvement","1500 N Croatan Hwy","Kill Devil Hills","NC","27948",36.026462,-75.670197,4.2,1128,"Average","Low Volume","Eastern NC"
62,"1722","Lowe's Home Improvement","4489 US-70","Kinston","NC","28504",35.260331,77.649339,4.1,1569,"Average","Medium Volume","Eastern NC"
63,"1095","Lowe's Home Improvement","7316 Knightdale Blvd","Knightdale","NC","27545",35.796598,-78.483754,3.8,2295,"Below Average","Medium Volume","Triangle"
64,"2564","Lowe's Home Improvement","By-Pass, 910 US-401","Laurinburg","NC","28352",34.761748,79.479245,4.2,1162,"Average","Low Volume","Sandhills / Fayetteville"
65,"3478","Lowe's Home Improvement","3716 Gateway Blvd","Leland","NC","28451",34.368859,-78.043947,4.2,345,"Average","Low Volume","Coastal"
66,"1509","Lowe's Home Improvement","1201 Hickory Blvd E","Lenoir","NC","28645",35.898821,-81.519246,4.1,1984,"Average","Medium Volume","Foothills / High Country"
67,"0490","Lowe's Home Improvement","130 Lowes Blvd","Lexington","NC","27292",35.790348,-80.25803,4.1,2241,"Average","Medium Volume","Triad"
68,"0700","Lowe's Home Improvement","1603 E Main St","Lincolnton","NC","28092",35.479419,-81.232242,4.1,2093,"Average","Medium Volume","Charlotte Metro"
69,"0739","Lowe's Home Improvement","5060 Fayetteville Rd","Lumberton","NC","28358",34.664634,-79.003655,4.1,1867,"Average","Medium Volume","Sandhills / Fayetteville"
70,"1922","Lowe's Home Improvement","480 US-70","Marion","NC","28752",36.009578,-82.052834,4.1,1550,"Average","Medium Volume","Mountains / Asheville"
71,"1124","Lowe's Home Improvement","2115 Matthews Township Pkwy","Matthews","NC","28105",35.128046,-80.705262,4.2,1491,"Average","Low Volume","Charlotte Metro"
72,"2996","Lowe's Home Improvement","6844 NC-135","Mayodan","NC","27027",36.41511,-79.939261,4.4,1173,"Above Average","Low Volume","Triad"
73,"2517","Lowe's Home Improvement","200 Lowes Blvd","Mebane","NC","27302",36.067775,-79.300988,4.2,1679,"Average","Medium Volume","Triangle"
74,"2575","Lowe's Home Improvement","1427 Yadkinville Rd","Mocksville","NC","27028",35.918371,-80.584756,4.3,1236,"Above Average","Low Volume","Triad"
75,"0680","Lowe's Home Improvement","2350 W Roosevelt Blvd","Monroe","NC","28110",35.012364,-80.561796,4.1,1786,"Average","Medium Volume","Charlotte Metro"
76,"0595","Lowe's Home Improvement","509 River Hwy","Mooresville","NC","28117",35.593006,-80.866829,4.2,2223,"Average","Medium Volume","Charlotte Metro"
77,"0619","Lowe's Home Improvement","5219 Hwy 70 W","Morehead City","NC","28557",34.737651,-76.812185,4.1,1895,"Average","Medium Volume","Coastal"
78,"1097","Lowe's Home Improvement","1224 Burkemont Ave","Morganton","NC","28655",35.71797,-81.697452,4.1,1892,"Average","Medium Volume","Mountains / Asheville"
79,"0478","Lowe's Home Improvement","692 S Andy Griffith Pkwy Ste100","Mount Airy","NC","27030",36.485641,-80.616832,4.2,1849,"Average","Medium Volume","Foothills / High Country"
80,"2505","Lowe's Home Improvement","198 Bulldog Dr","Murphy","NC","28906",35.330939,-83.98058,4.1,1632,"Average","Medium Volume","Eastern NC"
