id,source,store_number,city,store_address,store_name,state_code,zip_code,latitude,longitude,overall_rating,review_count,scraped_at
94,google,0612,Shelby,425 Earl Rd,Lowe's Home Improvement,NC,28150,35.36425354,-81.53179148,4.1,2266,3/25/26
95,google,0647,Smithfield,1230 N Brightleaf Blvd,Lowe's Home Improvement,NC,27577,35.58874388,-78.31688565,4.1,2040,3/25/26
96,google,0538,Southern Pines,10845 US 15-501 Hwy,Lowe's Home Improvement,NC,28387,35.16357919,-79.41982901,3.9,1916,3/25/26
97,google,0682,Southport,5084 Southport-Supply Rd SE,Lowe's Home Improvement,NC,28461,33.95517468,-78.04472464,4.1,1269,3/25/26
98,google,0458,Statesville,140 N Pointe Blvd,Lowe's Home Improvement,NC,28625,35.8181007,-80.87956118,4.1,1910,3/25/26
99,google,2257,Sylva,1716 E Main St,Lowe's Home Improvement,NC,28779,35.35407426,-83.20188945,3.8,1215,3/25/26
100,google,3022,Tarboro,111 River Oaks Dr,Lowe's Home Improvement,NC,27886,35.88334485,-77.54663328,4.3,790,3/25/26
101,google,0762,Troutman,286 Houston Rd,Lowe's Design Center,NC,28166,35.67724605,-80.84895954,4.6,52,3/25/26
102,google,2750,Troutman,1041 Charlotte Hwy,Lowe's Home Improvement,NC,28166,35.67306074,-80.85455109,4.4,1370,3/25/26
103,google,2255,W. Jefferson,158 Lowes Dr,Lowe's Home Improvement,NC,28694,36.38460158,-81.48126629,4.2,808,3/25/26
104,google,1798,Wake Forest,11800 Galaxy Dr,Lowe's Home Improvement,NC,27587,35.96834798,-78.53901376,4.2,2164,3/25/26
105,google,0786,Washington,1701 Carolina Ave,Lowe's Home Improvement,NC,27889,35.6407218,-77.05841248,4.2,1406,3/25/26
106,google,2638,Waxhaw,2508 Cuthbertson Rd,Lowe's Home Improvement,NC,28173,34.95977095,-80.75829228,4.2,1166,3/25/26
107,google,0470,Waynesville,100 Liner Cove Rd,Lowe's Home Improvement,NC,28786,35.52166445,-82.95758972,3.9,1955,3/25/26
108,google,2634,Weaverille,24 Northridge Commons Pkwy,Lowe's Home Improvement,NC,28787,35.7049248,-82.57498218,3.9,1883,3/25/26
109,google,2869,Whiteville,100 Green Hill Dr,Lowe's Home Improvement,NC,28472,34.3011034,-78.71764182,4.2,1214,3/25/26
110,google,0701,Wilkesboro,2003 US-421,Lowe's Home Improvement,NC,28697,36.14787894,-81.20547491,4,1518,3/25/26
111,google,0445,Wilmington,354 College Rd,Lowe's Home Improvement,NC,28403,34.23626,-77.879071,4.1,2415,3/25/26
112,google,1138,Wilmington,5110 College Rd,Lowe's Home Improvement,NC,28412,34.148175,-77.895904,4.1,1621,3/25/26
113,google,2982,Wilmington,191 Porters Neck Rd,Lowe's Home Improvement,NC,28411,34.302217,-77.788989,4.3,1448,3/25/26
114,google,0726,Wilson,2501 Forest Hills Rd W,Lowe's Home Improvement,NC,27893,35.79449181,-77.940324,4.1,1855,3/25/26
115,google,0436,Winston-Salem,935 Hanes Mall Blvd,Lowe's Home Improvement,NC,27103,36.06332,-80.31375,4.1,2478,3/25/26
116,google,0480,Winston-Salem,5901 University Pkwy,Lowe's Home Improvement,NC,27105,36.183024,-80.271826,4.1,2503,3/25/26
117,google,2653,Winston-Salem,1450 Lumber Ln,Lowe's Home Improvement,NC,27127,36.031497,-80.262084,4.2,2157,3/25/26
118,google,0598,Winterville,800 Thomas Langston Rd,Lowe's Home Improvement,NC,28590,35.63839232,-77.40748708,4.1,2221,3/25/26
